	GRIDCODE	NCP_cur	NCP_ssp1	NCP_ssp3	NCP_ssp5
232	11374	0.8403489192326864	0.8401573101679484	0.8401573101679484	0.8401573101679484
233	11375	0.7837193012237549	0.7837193012237549	0.7837193012237549	0.7837193012237549
234	11376	0.9962085485458374	0.9962085485458374	0.9962085485458374	0.9962085485458374
235	11377	0.9360516667366028	0.9360516667366028	0.9360516667366028	0.9360516667366028
236	11378	0.8026038209597269	0.833385149637858	0.8335056702295939	0.802618682384491
237	11379	0.4714316427707672	0.5608294606208801	0.5795402129491171	0.4660954972108205
238	11380	0.8545078237851461	0.9676766196886698	0.9725455443064371	0.8565049171447754
239	11381	0.6262927055358887	0.6470588644345602	0.6523772478103638	0.6262927055358887
240	11382	0.9424296617507935	0.943342367808024	0.9434079925219218	0.9424296617507935
241	11383	0.9992153644561768	0.9992153644561768	0.9992153644561768	0.9992153644561768
242	11384	0.994134763876597	0.994134763876597	0.994134763876597	0.994134763876597
243	11385	0.9717511932055155	0.9717511932055155	0.9717511932055155	0.9717511932055155
244	11386	0.8537645141283671	0.8537485202153524	0.8537485202153524	0.8537485202153524
245	11387	0.9967740178108215	0.9967740178108215	0.9967740178108215	0.9967740178108215
246	11388	0.9382954041163126	0.9516190489133199	0.9527858297030131	0.9385520617167155
247	11389	0.6713756124178568	0.7477407852808634	0.7579216559727987	0.6765870849291483
248	11390	0.9424754579861959	0.9685164093971252	0.9709135691324869	0.9444516897201538
249	11391	0.9675071239471436	0.9870858589808146	0.9907057086626688	0.9685713648796082
250	11392	0.7096154491106669	0.8156923055648804	0.8188959360122681	0.7104669411977133
251	11393	0.2578062266111374	0.34211332599322003	0.34248511493206024	0.2612399111191432
252	11394	0.9238545298576355	0.9313270847002665	0.9313771724700928	0.9240465958913168
253	11395	0.938486119111379	0.9541545708974203	0.9550339778264364	0.9394976695378622
254	11396	0.8602790037790934	0.9250204563140869	0.9305980602900187	0.8611679673194885
255	11397	0.8763868610064188	0.8798487186431885	0.8798487186431885	0.8763868610064188
256	11398	0.9968164364496866	0.9996447960535685	0.9997156262397766	0.996973435084025
257	11399	0.0	0.0	0.0	0.0
258	11400	0.9988008340199789	0.9988008340199789	0.9988008340199789	0.9988008340199789
259	11401	0.9804080327351888	0.983376701672872	0.983376701672872	0.9803282817204794
260	11402	0.9999999403953552	0.9999999403953552	0.9999999403953552	0.9999999403953552
261	11403	0.9364937543869019	0.9369888305664062	0.9369888305664062	0.9364937543869019
262	11404	0.8357752958933512	0.8358035882314047	0.8358035882314047	0.8357752958933512
263	11405	1.00000003973643	1.00000003973643	1.00000003973643	1.00000003973643
264	11406	0.999999980131785	0.999999980131785	0.999999980131785	0.999999980131785
265	11407	1.0	1.0	1.0	1.0
266	11408	0.0	0.0	0.0	0.0
267	11409	0.0	0.0	0.0	0.0
268	11410	0.0	0.0	0.0	0.0
269	11416	0.0	0.0	0.0	0.0
270	11417	0.0	0.0	0.0	0.0
271	11418	0.0	0.0	0.0	0.0
272	11419	0.0	0.0	0.0	0.0
273	11420	0.0	0.0	0.0	0.0
274	11421	0.0	0.0	0.0	0.0
275	11422	0.0	0.0	0.0	0.0
276	11423	0.0	0.0	0.0	0.0
277	11424	0.0	0.0	0.0	0.0
278	11425	0.0	0.0	0.0	0.0
279	11426	0.0	0.0	0.0	0.0
280	11427	0.0	0.0	0.0	0.0
281	11429	0.0	0.0	0.0	0.0
282	11431	0.0	0.0	0.0	0.0
283	11432	0.999999980131785	0.999999980131785	0.999999980131785	0.999999980131785
284	11433	0.9732841650644938	0.9732825954755148	0.9732825954755148	0.9732825954755148
285	11434	0.0	0.0	0.0	0.0
286	11437	0.0	0.0	0.0	0.0
287	11438	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666
288	11439	0.0	0.0	0.0	0.0
289	11440	0.0	0.0	0.0	0.0
290	11441	1.0	1.0	1.0	1.0
291	11442	0.0	0.0	0.0	0.0
292	11583	0.30887003739674884	0.3086503247419993	0.3086503247419993	0.30864818890889484
293	11584	0.22754939397176108	0.22754939397176108	0.22754939397176108	0.22754939397176108
294	11585	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333
295	11693	0.9999999602635702	0.9999999602635702	0.9999999602635702	0.9999999602635702
296	11696	0.8555153409639994	0.8577379782994589	0.8560008804003397	0.8379142880439758
297	11697	0.2864326536655426	0.3108976682027181	0.28570127487182617	0.2816387365261714
298	11698	0.013028176501393318	0.020196481918295223	0.010927882666389147	0.010718744558592638
299	11699	0.06721470753351848	0.061389707028865814	0.044986976931492485	0.04860917975505193
300	11709	0.28468363483746845	0.2892247637112935	0.28593488534291583	0.2836724321047465
301	11710	0.28224992752075195	0.3276084065437317	0.30915577212969464	0.3096548815568288
302	11711	0.21823430061340332	0.28918443620204926	0.22364882628122965	0.22575595478216806
303	11712	0.78627081712087	0.9150141278902689	0.7250315944353739	0.750709056854248
304	11713	0.41561638315518695	0.496248334646225	0.31517326831817627	0.39104053378105164
305	11714	0.9376648863156637	0.9422983725865682	0.924198846022288	0.9124821424484253
306	11715	0.9810039401054382	0.9459042946497599	0.9260910550753275	0.8596551815668741
307	11716	0.8475068410237631	0.7807608246803284	0.7767407298088074	0.6570358872413635
308	11717	0.9751254518826803	0.9652162194252014	0.9565980235735575	0.9287262956301371
309	11718	0.32505351305007935	0.3310106595357259	0.3191630442937215	0.3039633433024089
310	11719	0.243573988477389	0.6802399555842081	0.15622597932815552	0.17744120955467224
311	11722	0.8370859821637472	0.8323051730791727	0.8323051730791727	0.7983837922414144
312	11723	0.9230625033378601	0.9144386251767477	0.9146176973978678	0.8746256232261658
313	11724	0.9965553681055704	0.9965553681055704	0.9965553681055704	0.9921431342760721
314	11725	0.9880107839902242	0.9878385861714681	0.9878385861714681	0.9808406631151835
315	11726	0.9580803513526917	0.9547903339068095	0.9547903339068095	0.9283376336097717
316	11727	0.9748092889785767	0.9582310914993286	0.9588669141133627	0.9355122049649557
317	11728	0.7875322898228964	0.7778045932451884	0.7779321869214376	0.7688804268836975
318	11729	0.771639088789622	0.771639088789622	0.771639088789622	0.771639088789622
319	11730	0.7951050996780396	0.795138955116272	0.795138955116272	0.795138955116272
320	11731	0.6452397505442301	0.6452397505442301	0.6452397505442301	0.6452397505442301
321	11732	0.4260505934556325	0.4260505934556325	0.4260505934556325	0.4260505934556325
