continent,value,log_value
0,499.2,2.6982745766743674
1,107.1,2.029789470831856
2,19.4,1.287801729930226
3,44.2,1.6454222693490919
4,23.6,1.3729120029701065
5,44.1,1.6444385894678386
6,247.0,2.392696953259666
