,iso3,long,lat,SSP1,SSP3,SSP5
2606,FRA16378.0,44.5,-1.5,-40.69,-26.41,-40.94
2607,FRA16379.0,44.5,-0.5,406.83,1273.14,-45.07
2608,FRA16380.0,44.5,0.5,1.73,2.57,15.82
2609,FRA16381.0,44.5,1.5,87.01,87.01,0.0
2610,FRA16382.0,44.5,2.5,-100.0,-100.0,-4.38
2611,FRA16383.0,44.5,3.5,-97.59,-100.0,-4.89
2612,FRA16384.0,44.5,4.5,-100.0,-100.0,0.0
2613,FRA16385.0,44.5,5.5,-81.5,-85.66,0.09
2614,FRA16738.0,43.5,-1.5,-5.9,5.95,-8.78
2615,FRA16739.0,43.5,-0.5,83.61,133.81,1.08
2616,FRA16740.0,43.5,0.5,70705.21,67767.91,145.83
2617,FRA16741.0,43.5,1.5,22.72,30.36,-4.29
2618,FRA16742.0,43.5,2.5,-33.85,-33.8,-35.35
2619,FRA16743.0,43.5,3.5,62.25,115.88,-20.6
2620,FRA16744.0,43.5,4.5,-14.33,-9.23,-3.91
2621,FRA16745.0,43.5,5.5,1.72,12.53,-0.01
2622,FRA16746.0,43.5,6.5,82.49,151.91,10.77
2623,FRA17098.0,42.5,-1.5,72.46,48.26,18.87
2624,FRA17099.0,42.5,-0.5,68.77,83.57,19.79
2625,FRA17100.0,42.5,0.5,1.9,11.55,-0.71
2626,FRA17101.0,42.5,1.5,17.38,27.22,-0.07
2627,FRA17102.0,42.5,2.5,0.0,0.0,0.0
2628,FRA17103.0,42.5,3.5,7.17,8.66,0.33
2629,FRA17108.0,42.5,8.5,5.43,9.67,1.92
2630,FRA17109.0,42.5,9.5,22.16,28.66,-1.75
2631,BEL13863.0,51.5,3.5,4.14,5.16,-0.45
2632,BEL13864.0,51.5,4.5,13.24,17.32,1.34
2633,UKR13891.0,51.5,31.5,0.0,0.0,0.0
2634,UKR13892.0,51.5,32.5,-0.72,7.56,-0.38
2635,UKR13893.0,51.5,33.5,0.82,-7.08,-2.63
2636,UKR14245.0,50.5,25.5,-0.0,-6.02,0.0
2637,UKR14246.0,50.5,26.5,0.0,0.0,0.0
2638,UKR14247.0,50.5,27.5,0.0,0.0,0.0
2639,UKR14248.0,50.5,28.5,0.0,0.0,0.0
2640,UKR14249.0,50.5,29.5,0.0,0.0,0.0
2641,UKR14250.0,50.5,30.5,0.0,0.0,0.0
2642,UKR14251.0,50.5,31.5,0.0,0.0,0.0
2643,UKR14252.0,50.5,32.5,-0.01,-0.24,0.0
2644,UKR14253.0,50.5,33.5,-9.82,-5.64,-10.35
2645,UKR14254.0,50.5,34.5,8.37,-1.95,10.57
2646,UKR14604.0,49.5,24.5,0.0,0.0,0.0
2647,UKR14605.0,49.5,25.5,0.0,0.0,0.0
2648,UKR14606.0,49.5,26.5,0.0,0.0,0.0
2649,UKR14607.0,49.5,27.5,0.0,0.0,0.0
2650,UKR14608.0,49.5,28.5,0.0,0.0,0.0
2651,UKR14609.0,49.5,29.5,7168471421.67,3.29,-7.37
