,iso3,long,lat,SSP1,SSP3,SSP5
101,RUS10664.0,60.5,44.5,-1.99,-1.51,-11.32
102,RUS10665.0,60.5,45.5,-3.81,-3.79,-4.36
103,RUS10666.0,60.5,46.5,0.0,0.0,0.0
104,RUS10667.0,60.5,47.5,-0.36,-0.36,-0.36
105,RUS10668.0,60.5,48.5,0.0,0.0,0.0
106,RUS10669.0,60.5,49.5,0.0,0.0,0.0
107,RUS10670.0,60.5,50.5,0.0,0.0,0.0
108,RUS10671.0,60.5,51.5,0.0,0.0,0.0
109,RUS10672.0,60.5,52.5,0.0,0.0,0.0
110,RUS10673.0,60.5,53.5,0.0,0.0,0.0
111,RUS10674.0,60.5,54.5,0.0,0.0,0.0
112,RUS10675.0,60.5,55.5,0.0,0.0,0.0
113,RUS10676.0,60.5,56.5,0.0,0.0,0.0
114,RUS10677.0,60.5,57.5,0.0,0.0,0.0
115,RUS10680.0,60.5,60.5,0.0,0.0,0.0
116,RUS10684.0,60.5,64.5,0.0,0.0,0.0
117,RUS10686.0,60.5,66.5,0.0,0.0,0.0
118,RUS10687.0,60.5,67.5,0.0,0.0,0.0
119,RUS11007.0,59.5,27.5,0.0,0.0,0.0
120,RUS11008.0,59.5,28.5,0.0,0.0,0.0
121,RUS11009.0,59.5,29.5,0.0,0.0,0.0
122,RUS11010.0,59.5,30.5,0.0,0.0,0.0
123,RUS11011.0,59.5,31.5,0.0,0.0,0.0
124,RUS11012.0,59.5,32.5,0.0,0.0,0.0
125,RUS11013.0,59.5,33.5,0.0,0.0,0.0
126,RUS11014.0,59.5,34.5,0.0,0.0,0.0
127,RUS11015.0,59.5,35.5,0.0,0.0,0.0
128,RUS11016.0,59.5,36.5,0.0,0.0,0.0
129,RUS11017.0,59.5,37.5,0.0,0.0,0.0
130,RUS11018.0,59.5,38.5,0.0,0.0,0.0
131,RUS11019.0,59.5,39.5,0.0,0.0,0.0
132,RUS11020.0,59.5,40.5,0.0,0.0,0.0
133,RUS11021.0,59.5,41.5,0.0,0.0,0.0
134,RUS11022.0,59.5,42.5,0.0,0.0,0.0
135,RUS11023.0,59.5,43.5,0.0,0.0,0.0
136,RUS11024.0,59.5,44.5,0.0,0.0,0.0
137,RUS11025.0,59.5,45.5,2.34,2.34,2.34
138,RUS11026.0,59.5,46.5,94.03,-24.95,-49.45
139,RUS11027.0,59.5,47.5,751.34,0.02,-41.89
140,RUS11028.0,59.5,48.5,-0.19,-0.18,-0.95
141,RUS11029.0,59.5,49.5,1.22,1.03,0.33
142,RUS11030.0,59.5,50.5,-2.49,-2.35,-11.16
143,RUS11031.0,59.5,51.5,0.0,0.0,0.0
