,fid,GRIDCODE,region,country,lat,lng,iso3
105,10668,10669,Eurasia,Russia,60.5,48.5,RUS
106,10669,10670,Eurasia,Russia,60.5,49.5,RUS
107,10670,10671,Eurasia,Russia,60.5,50.5,RUS
108,10671,10672,Eurasia,Russia,60.5,51.5,RUS
109,10672,10673,Eurasia,Russia,60.5,52.5,RUS
110,10673,10674,Eurasia,Russia,60.5,53.5,RUS
111,10674,10675,Eurasia,Russia,60.5,54.5,RUS
112,10675,10676,Eurasia,Russia,60.5,55.5,RUS
113,10676,10677,Eurasia,Russia,60.5,56.5,RUS
114,10677,10678,Eurasia,Russia,60.5,57.5,RUS
115,10680,10681,Eurasia,Russia,60.5,60.5,RUS
116,10684,10685,Eurasia,Russia,60.5,64.5,RUS
117,10686,10687,Eurasia,Russia,60.5,66.5,RUS
118,10687,10688,Eurasia,Russia,60.5,67.5,RUS
119,11007,11008,Eurasia,Russia,59.5,27.5,RUS
120,11008,11009,Eurasia,Russia,59.5,28.5,RUS
121,11009,11010,Eurasia,Russia,59.5,29.5,RUS
122,11010,11011,Eurasia,Russia,59.5,30.5,RUS
123,11011,11012,Eurasia,Russia,59.5,31.5,RUS
124,11012,11013,Eurasia,Russia,59.5,32.5,RUS
125,11013,11014,Eurasia,Russia,59.5,33.5,RUS
126,11014,11015,Eurasia,Russia,59.5,34.5,RUS
127,11015,11016,Eurasia,Russia,59.5,35.5,RUS
128,11016,11017,Eurasia,Russia,59.5,36.5,RUS
129,11017,11018,Eurasia,Russia,59.5,37.5,RUS
130,11018,11019,Eurasia,Russia,59.5,38.5,RUS
131,11019,11020,Eurasia,Russia,59.5,39.5,RUS
132,11020,11021,Eurasia,Russia,59.5,40.5,RUS
133,11021,11022,Eurasia,Russia,59.5,41.5,RUS
134,11022,11023,Eurasia,Russia,59.5,42.5,RUS
135,11023,11024,Eurasia,Russia,59.5,43.5,RUS
136,11024,11025,Eurasia,Russia,59.5,44.5,RUS
137,11025,11026,Eurasia,Russia,59.5,45.5,RUS
138,11026,11027,Eurasia,Russia,59.5,46.5,RUS
139,11027,11028,Eurasia,Russia,59.5,47.5,RUS
140,11028,11029,Eurasia,Russia,59.5,48.5,RUS
141,11029,11030,Eurasia,Russia,59.5,49.5,RUS
142,11030,11031,Eurasia,Russia,59.5,50.5,RUS
143,11031,11032,Eurasia,Russia,59.5,51.5,RUS
