,name,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5
0,Afghanistan,AFG,15.955822784810126,15.776708860759493,17.153670886075947,26.296075949367086,22.45556962025316,21.546582278481015,22.66898734177215,13.731645569620252,18.144303797468357
1,Albania,ALB,32.184,17.294000000000004,16.035999999999998,18.174,24.318000000000005,33.474000000000004,36.558,36.214,31.784000000000002
2,Algeria,DZA,37.66969696969697,20.664242424242424,18.847272727272728,18.799090909090914,9.096666666666666,8.755454545454546,1.0645454545454547,1.5484848484848488,7.828484848484848
3,Angola,AGO,8.234333333333334,8.820583333333332,10.359250000000001,19.196416666666668,32.543083333333335,51.598500000000016,63.8001666666667,7.0569999999999995,45.44674999999998
4,Argentina,ARG,51.246311111111126,47.77933333333334,43.61408888888889,35.187155555555556,26.489555555555558,23.339644444444456,27.130755555555552,21.365644444444463,22.227511111111117
5,Armenia,ARM,14.262499999999998,8.8425,8.18,8.3775,8.86625,7.61375,8.397499999999999,7.481249999999999,7.49125
6,Aruba,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Australia,AUS,2.6448591549295775,7.769507042253521,4.192112676056338,2.674683098591549,5.027957746478873,5.684929577464789,7.47169014084507,7.777887323943656,6.2335915492957765
8,Austria,AUT,16.318461538461538,12.829230769230769,12.574615384615386,12.340000000000002,14.32538461538462,22.279999999999998,31.614615384615384,24.316153846153846,18.36615384615385
9,Azerbaijan,AZE,1.0183333333333333,8.85,3.716666666666667,3.6466666666666665,8.513333333333334,12.57,15.513333333333334,15.593333333333334,10.813333333333333
10,Bahrain,BHR,0.0,100.0,100.0,100.0,79.85,10.88,0.0,0.0,0.0
11,Bangladesh,BGD,5.487142857142857,10.844285714285714,12.38142857142857,10.962857142857144,6.565714285714286,3.2914285714285714,4.518571428571429,3.3214285714285716,5.287142857142858
12,Belarus,BLR,60.450869565217396,43.018260869565225,40.10521739130436,38.678260869565214,30.82608695652174,33.92652173913043,39.34652173913044,38.22086956521739,33.23739130434783
13,Belgium,BEL,18.085,15.43,15.04,13.825,15.965,11.96,15.665000000000001,13.46,13.65
14,Belize,BLZ,92.8725,91.985,91.1575,81.0075,63.1425,51.692499999999995,68.42,49.175000000000004,58.7325
15,Benin,BEN,12.0275,8.5125,8.00625,4.5175,4.798750000000001,3.1887499999999998,3.25125,3.0524999999999998,3.0275000000000003
16,Bolivia,BOL,16.94541666666667,27.754305555555558,34.48291666666667,56.58958333333334,49.80597222222221,37.13916666666666,48.64277777777777,38.050833333333344,38.48305555555555
17,Bosnia and Herzegovina,BIH,62.87,6.24,3.35,5.09,14.8,71.61,79.91,79.31,64.92
18,Botswana,BWA,0.0,0.0,0.0,3.125,26.4778125,36.4765625,37.9515625,38.8984375,57.056875000000005
19,Brazil,BRA,21.41763380281691,26.818535211267605,27.18867605633801,44.627281690140805,42.238704225352116,43.36154929577462,44.41594366197183,39.59066197183102,44.40656338028169
20,Brunei Darussalam,BRN,0.0,0.0,0.0,33.333333333333336,99.90666666666668,98.47666666666667,98.99666666666667,96.83999999999999,89.33999999999999
21,Bulgaria,BGR,74.82142857142857,59.512857142857136,50.371428571428574,47.63142857142857,45.99142857142857,61.530000000000015,63.694285714285726,59.618571428571435,60.26857142857142
22,Burkina Faso,BFA,1.6777777777777776,1.3066666666666664,1.2077777777777778,1.1133333333333335,1.1466666666666667,1.268888888888889,1.2744444444444443,1.37,1.3233333333333333
23,Burma,MMR,38.655,38.888387096774196,42.455322580645166,55.73064516129032,54.46935483870967,44.014032258064496,44.373709677419356,41.59548387096773,45.207419354838706
24,Burundi,BDI,49.31857142857143,62.20428571428572,61.847142857142856,50.40714285714285,31.99857142857143,21.94,22.224285714285713,8.445714285714287,14.54142857142857
25,Cambodia,KHM,40.77818181818182,40.072272727272725,44.092727272727274,46.85045454545455,45.16863636363636,34.66954545454546,35.75590909090909,34.70045454545454,37.55681818181818
26,Cameroon,CMR,19.792115384615386,23.785961538461542,27.365192307692308,35.81653846153846,48.98557692307692,42.891538461538474,52.51115384615385,13.73846153846154,28.00019230769231
27,Canada,CAN,24.540805970149254,31.481432835820904,34.35946268656714,36.56471641791045,35.480895522388074,38.16770149253732,41.95310447761195,35.69910447761192,37.39426865671643
28,Central African Republic,CAF,1.9652499999999997,1.5170000000000001,1.517,5.53825,9.25075,17.948250000000005,24.752249999999993,12.015749999999997,21.1985
29,Chad,TCD,33.93558139534884,31.192325581395345,30.346279069767444,35.643488372093024,44.64906976744185,39.74511627906976,42.28790697674418,18.40511627906977,20.609999999999996
30,Chile,CHL,7.909807692307694,15.73567307692308,22.47673076923077,29.965096153846154,24.91240384615384,28.48144230769231,29.68817307692307,25.02971153846153,26.456538461538454
31,China,CHN,26.32380530973452,28.164525916561352,26.771504424778723,28.033577749683964,18.176662452591664,16.42474083438687,18.963274336283195,16.997130214917835,17.69633375474085
32,Colombia,COL,15.600631578947368,17.847157894736846,23.062736842105263,25.886526315789467,29.827684210526307,24.695789473684226,29.102736842105255,27.69389473684211,25.996631578947376
33,Congo,COG,4.166666666666667,8.333333333333334,8.333333333333334,32.867916666666666,77.95291666666667,82.39375000000001,83.02166666666666,53.67458333333334,64.03625000000002
34,Costa Rica,CRI,89.76636363636364,98.21909090909092,97.91181818181818,89.86818181818181,69.11636363636363,61.60727272727272,75.2218181818182,63.60545454545454,62.01454545454545
35,Cote d'Ivoire,CIV,32.54685714285714,34.96828571428572,34.88485714285714,38.98799999999999,30.039714285714297,24.206285714285713,23.57857142857143,16.261714285714284,18.471142857142862
