continent,value,log_value
0,766.6,2.8845688149183335
1,237.6,2.375846436309156
2,144.0,2.1583624920952498
3,266.9,2.4263485737875077
4,3.4,0.5314789170422551
5,289.7,2.4619484952037616
6,517.3,2.7137424784090824
