continent,value,log_value
0,1144.9,3.0587675553704194
1,292.3,2.4658288153574364
2,202.5,2.3064250275506875
3,65.7,1.8175653695597809
4,20.7,1.3159703454569178
5,374.7,2.573683693093798
6,863.7,2.9363629195977445
